month,entity,account_category,amount,currency
2023-01,ParentCo,Revenue,380000,USD
2023-01,ParentCo,COGS,57000,USD
2023-01,ParentCo,Opex:Marketing,76000,USD
2023-01,ParentCo,Opex:Sales,45600,USD
2023-01,ParentCo,Opex:R&D,30400,USD
2023-01,ParentCo,Opex:Admin,22800,USD
2023-01,EMEA,Revenue,95000,EUR
2023-01,EMEA,COGS,15200,EUR
2023-01,EMEA,Opex:Marketing,14250,EUR
2023-01,EMEA,Opex:Sales,9500,EUR
2023-01,EMEA,Opex:Admin,4750,EUR
2023-02,ParentCo,Revenue,420000,USD
2023-02,ParentCo,COGS,63000,USD
2023-02,ParentCo,Opex:Marketing,84000,USD
2023-02,ParentCo,Opex:Sales,50400,USD
2023-02,ParentCo,Opex:R&D,33600,USD
2023-02,ParentCo,Opex:Admin,25200,USD
2023-02,EMEA,Revenue,105000,EUR
2023-02,EMEA,COGS,16800,EUR
2023-02,EMEA,Opex:Marketing,15750,EUR
2023-02,EMEA,Opex:Sales,10500,EUR
2023-02,EMEA,Opex:Admin,5250,EUR
2023-03,ParentCo,Revenue,445000,USD
2023-03,ParentCo,COGS,66750,USD
2023-03,ParentCo,Opex:Marketing,89000,USD
2023-03,ParentCo,Opex:Sales,53400,USD
2023-03,ParentCo,Opex:R&D,35600,USD
2023-03,ParentCo,Opex:Admin,26700,USD
2023-03,EMEA,Revenue,108000,EUR
2023-03,EMEA,COGS,17280,EUR
2023-03,EMEA,Opex:Marketing,16200,EUR
2023-03,EMEA,Opex:Sales,10800,EUR
2023-03,EMEA,Opex:Admin,5400,EUR
2023-04,ParentCo,Revenue,435000,USD
2023-04,ParentCo,COGS,65250,USD
2023-04,ParentCo,Opex:Marketing,87000,USD
2023-04,ParentCo,Opex:Sales,52200,USD
2023-04,ParentCo,Opex:R&D,34800,USD
2023-04,ParentCo,Opex:Admin,26100,USD
2023-04,EMEA,Revenue,112000,EUR
2023-04,EMEA,COGS,17920,EUR
2023-04,EMEA,Opex:Marketing,16800,EUR
2023-04,EMEA,Opex:Sales,11200,EUR
2023-04,EMEA,Opex:Admin,5600,EUR
2023-05,ParentCo,Revenue,465000,USD
2023-05,ParentCo,COGS,69750,USD
2023-05,ParentCo,Opex:Marketing,93000,USD
2023-05,ParentCo,Opex:Sales,55800,USD
2023-05,ParentCo,Opex:R&D,37200,USD
2023-05,ParentCo,Opex:Admin,27900,USD
2023-05,EMEA,Revenue,118000,EUR
2023-05,EMEA,COGS,18880,EUR
2023-05,EMEA,Opex:Marketing,17700,EUR
2023-05,EMEA,Opex:Sales,11800,EUR
2023-05,EMEA,Opex:Admin,5900,EUR
2023-06,ParentCo,Revenue,490000,USD
2023-06,ParentCo,COGS,73500,USD
2023-06,ParentCo,Opex:Marketing,98000,USD
2023-06,ParentCo,Opex:Sales,58800,USD
2023-06,ParentCo,Opex:R&D,39200,USD
2023-06,ParentCo,Opex:Admin,29400,USD
2023-06,EMEA,Revenue,115000,EUR
2023-06,EMEA,COGS,18400,EUR
2023-06,EMEA,Opex:Marketing,17250,EUR
2023-06,EMEA,Opex:Sales,11500,EUR
2023-06,EMEA,Opex:Admin,5750,EUR
2023-07,ParentCo,Revenue,485000,USD
2023-07,ParentCo,COGS,72750,USD
2023-07,ParentCo,Opex:Marketing,97000,USD
2023-07,ParentCo,Opex:Sales,58200,USD
2023-07,ParentCo,Opex:R&D,38800,USD
2023-07,ParentCo,Opex:Admin,29100,USD
2023-07,EMEA,Revenue,125000,EUR
2023-07,EMEA,COGS,20000,EUR
2023-07,EMEA,Opex:Marketing,18750,EUR
2023-07,EMEA,Opex:Sales,12500,EUR
2023-07,EMEA,Opex:Admin,6250,EUR
2023-08,ParentCo,Revenue,510000,USD
2023-08,ParentCo,COGS,76500,USD
2023-08,ParentCo,Opex:Marketing,102000,USD
2023-08,ParentCo,Opex:Sales,61200,USD
2023-08,ParentCo,Opex:R&D,40800,USD
2023-08,ParentCo,Opex:Admin,30600,USD
2023-08,EMEA,Revenue,132000,EUR
2023-08,EMEA,COGS,21120,EUR
2023-08,EMEA,Opex:Marketing,19800,EUR
2023-08,EMEA,Opex:Sales,13200,EUR
2023-08,EMEA,Opex:Admin,6600,EUR
2023-09,ParentCo,Revenue,495000,USD
2023-09,ParentCo,COGS,74250,USD
2023-09,ParentCo,Opex:Marketing,99000,USD
2023-09,ParentCo,Opex:Sales,59400,USD
2023-09,ParentCo,Opex:R&D,39600,USD
2023-09,ParentCo,Opex:Admin,29700,USD
2023-09,EMEA,Revenue,128000,EUR
2023-09,EMEA,COGS,20480,EUR
2023-09,EMEA,Opex:Marketing,19200,EUR
2023-09,EMEA,Opex:Sales,12800,EUR
2023-09,EMEA,Opex:Admin,6400,EUR
2023-10,ParentCo,Revenue,520000,USD
2023-10,ParentCo,COGS,78000,USD
2023-10,ParentCo,Opex:Marketing,104000,USD
2023-10,ParentCo,Opex:Sales,62400,USD
2023-10,ParentCo,Opex:R&D,41600,USD
2023-10,ParentCo,Opex:Admin,31200,USD
2023-10,EMEA,Revenue,138000,EUR
2023-10,EMEA,COGS,22080,EUR
2023-10,EMEA,Opex:Marketing,20700,EUR
2023-10,EMEA,Opex:Sales,13800,EUR
2023-10,EMEA,Opex:Admin,6900,EUR
2023-11,ParentCo,Revenue,535000,USD
2023-11,ParentCo,COGS,80250,USD
2023-11,ParentCo,Opex:Marketing,107000,USD
2023-11,ParentCo,Opex:Sales,64200,USD
2023-11,ParentCo,Opex:R&D,42800,USD
2023-11,ParentCo,Opex:Admin,32100,USD
2023-11,EMEA,Revenue,142000,EUR
2023-11,EMEA,COGS,22720,EUR
2023-11,EMEA,Opex:Marketing,21300,EUR
2023-11,EMEA,Opex:Sales,14200,EUR
2023-11,EMEA,Opex:Admin,7100,EUR
2023-12,ParentCo,Revenue,560000,USD
2023-12,ParentCo,COGS,84000,USD
2023-12,ParentCo,Opex:Marketing,112000,USD
2023-12,ParentCo,Opex:Sales,67200,USD
2023-12,ParentCo,Opex:R&D,44800,USD
2023-12,ParentCo,Opex:Admin,33600,USD
2023-12,EMEA,Revenue,145000,EUR
2023-12,EMEA,COGS,23200,EUR
2023-12,EMEA,Opex:Marketing,21750,EUR
2023-12,EMEA,Opex:Sales,14500,EUR
2023-12,EMEA,Opex:Admin,7250,EUR
2024-01,ParentCo,Revenue,545000,USD
2024-01,ParentCo,COGS,81750,USD
2024-01,ParentCo,Opex:Marketing,109000,USD
2024-01,ParentCo,Opex:Sales,65400,USD
2024-01,ParentCo,Opex:R&D,43600,USD
2024-01,ParentCo,Opex:Admin,32700,USD
2024-01,EMEA,Revenue,148000,EUR
2024-01,EMEA,COGS,23680,EUR
2024-01,EMEA,Opex:Marketing,22200,EUR
2024-01,EMEA,Opex:Sales,14800,EUR
2024-01,EMEA,Opex:Admin,7400,EUR
2024-02,ParentCo,Revenue,575000,USD
2024-02,ParentCo,COGS,86250,USD
2024-02,ParentCo,Opex:Marketing,115000,USD
2024-02,ParentCo,Opex:Sales,69000,USD
2024-02,ParentCo,Opex:R&D,46000,USD
2024-02,ParentCo,Opex:Admin,34500,USD
2024-02,EMEA,Revenue,152000,EUR
2024-02,EMEA,COGS,24320,EUR
2024-02,EMEA,Opex:Marketing,22800,EUR
2024-02,EMEA,Opex:Sales,15200,EUR
2024-02,EMEA,Opex:Admin,7600,EUR
2024-03,ParentCo,Revenue,595000,USD
2024-03,ParentCo,COGS,89250,USD
2024-03,ParentCo,Opex:Marketing,119000,USD
2024-03,ParentCo,Opex:Sales,71400,USD
2024-03,ParentCo,Opex:R&D,47600,USD
2024-03,ParentCo,Opex:Admin,35700,USD
2024-03,EMEA,Revenue,158000,EUR
2024-03,EMEA,COGS,25280,EUR
2024-03,EMEA,Opex:Marketing,23700,EUR
2024-03,EMEA,Opex:Sales,15800,EUR
2024-03,EMEA,Opex:Admin,7900,EUR
2024-04,ParentCo,Revenue,580000,USD
2024-04,ParentCo,COGS,87000,USD
2024-04,ParentCo,Opex:Marketing,116000,USD
2024-04,ParentCo,Opex:Sales,69600,USD
2024-04,ParentCo,Opex:R&D,46400,USD
2024-04,ParentCo,Opex:Admin,34800,USD
2024-04,EMEA,Revenue,162000,EUR
2024-04,EMEA,COGS,25920,EUR
2024-04,EMEA,Opex:Marketing,24300,EUR
2024-04,EMEA,Opex:Sales,16200,EUR
2024-04,EMEA,Opex:Admin,8100,EUR
2024-05,ParentCo,Revenue,615000,USD
2024-05,ParentCo,COGS,92250,USD
2024-05,ParentCo,Opex:Marketing,123000,USD
2024-05,ParentCo,Opex:Sales,73800,USD
2024-05,ParentCo,Opex:R&D,49200,USD
2024-05,ParentCo,Opex:Admin,36900,USD
2024-05,EMEA,Revenue,165000,EUR
2024-05,EMEA,COGS,26400,EUR
2024-05,EMEA,Opex:Marketing,24750,EUR
2024-05,EMEA,Opex:Sales,16500,EUR
2024-05,EMEA,Opex:Admin,8250,EUR
2024-06,ParentCo,Revenue,635000,USD
2024-06,ParentCo,COGS,95250,USD
2024-06,ParentCo,Opex:Marketing,127000,USD
2024-06,ParentCo,Opex:Sales,76200,USD
2024-06,ParentCo,Opex:R&D,50800,USD
2024-06,ParentCo,Opex:Admin,38100,USD
2024-06,EMEA,Revenue,172000,EUR
2024-06,EMEA,COGS,27520,EUR
2024-06,EMEA,Opex:Marketing,25800,EUR
2024-06,EMEA,Opex:Sales,17200,EUR
2024-06,EMEA,Opex:Admin,8600,EUR
2024-07,ParentCo,Revenue,620000,USD
2024-07,ParentCo,COGS,93000,USD
2024-07,ParentCo,Opex:Marketing,124000,USD
2024-07,ParentCo,Opex:Sales,74400,USD
2024-07,ParentCo,Opex:R&D,49600,USD
2024-07,ParentCo,Opex:Admin,37200,USD
2024-07,EMEA,Revenue,168000,EUR
2024-07,EMEA,COGS,26880,EUR
2024-07,EMEA,Opex:Marketing,25200,EUR
2024-07,EMEA,Opex:Sales,16800,EUR
2024-07,EMEA,Opex:Admin,8400,EUR
2024-08,ParentCo,Revenue,655000,USD
2024-08,ParentCo,COGS,98250,USD
2024-08,ParentCo,Opex:Marketing,131000,USD
2024-08,ParentCo,Opex:Sales,78600,USD
2024-08,ParentCo,Opex:R&D,52400,USD
2024-08,ParentCo,Opex:Admin,39300,USD
2024-08,EMEA,Revenue,178000,EUR
2024-08,EMEA,COGS,28480,EUR
2024-08,EMEA,Opex:Marketing,26700,EUR
2024-08,EMEA,Opex:Sales,17800,EUR
2024-08,EMEA,Opex:Admin,8900,EUR
2024-09,ParentCo,Revenue,640000,USD
2024-09,ParentCo,COGS,96000,USD
2024-09,ParentCo,Opex:Marketing,128000,USD
2024-09,ParentCo,Opex:Sales,76800,USD
2024-09,ParentCo,Opex:R&D,51200,USD
2024-09,ParentCo,Opex:Admin,38400,USD
2024-09,EMEA,Revenue,175000,EUR
2024-09,EMEA,COGS,28000,EUR
2024-09,EMEA,Opex:Marketing,26250,EUR
2024-09,EMEA,Opex:Sales,17500,EUR
2024-09,EMEA,Opex:Admin,8750,EUR
2024-10,ParentCo,Revenue,675000,USD
2024-10,ParentCo,COGS,101250,USD
2024-10,ParentCo,Opex:Marketing,135000,USD
2024-10,ParentCo,Opex:Sales,81000,USD
2024-10,ParentCo,Opex:R&D,54000,USD
2024-10,ParentCo,Opex:Admin,40500,USD
2024-10,EMEA,Revenue,182000,EUR
2024-10,EMEA,COGS,29120,EUR
2024-10,EMEA,Opex:Marketing,27300,EUR
2024-10,EMEA,Opex:Sales,18200,EUR
2024-10,EMEA,Opex:Admin,9100,EUR
2024-11,ParentCo,Revenue,685000,USD
2024-11,ParentCo,COGS,102750,USD
2024-11,ParentCo,Opex:Marketing,137000,USD
2024-11,ParentCo,Opex:Sales,82200,USD
2024-11,ParentCo,Opex:R&D,54800,USD
2024-11,ParentCo,Opex:Admin,41100,USD
2024-11,EMEA,Revenue,185000,EUR
2024-11,EMEA,COGS,29600,EUR
2024-11,EMEA,Opex:Marketing,27750,EUR
2024-11,EMEA,Opex:Sales,18500,EUR
2024-11,EMEA,Opex:Admin,9250,EUR
2024-12,ParentCo,Revenue,710000,USD
2024-12,ParentCo,COGS,106500,USD
2024-12,ParentCo,Opex:Marketing,142000,USD
2024-12,ParentCo,Opex:Sales,85200,USD
2024-12,ParentCo,Opex:R&D,56800,USD
2024-12,ParentCo,Opex:Admin,42600,USD
2024-12,EMEA,Revenue,192000,EUR
2024-12,EMEA,COGS,30720,EUR
2024-12,EMEA,Opex:Marketing,28800,EUR
2024-12,EMEA,Opex:Sales,19200,EUR
2024-12,EMEA,Opex:Admin,9600,EUR
2025-01,ParentCo,Revenue,695000,USD
2025-01,ParentCo,COGS,104250,USD
2025-01,ParentCo,Opex:Marketing,139000,USD
2025-01,ParentCo,Opex:Sales,83400,USD
2025-01,ParentCo,Opex:R&D,55600,USD
2025-01,ParentCo,Opex:Admin,41700,USD
2025-01,EMEA,Revenue,188000,EUR
2025-01,EMEA,COGS,30080,EUR
2025-01,EMEA,Opex:Marketing,28200,EUR
2025-01,EMEA,Opex:Sales,18800,EUR
2025-01,EMEA,Opex:Admin,9400,EUR
2025-02,ParentCo,Revenue,725000,USD
2025-02,ParentCo,COGS,108750,USD
2025-02,ParentCo,Opex:Marketing,145000,USD
2025-02,ParentCo,Opex:Sales,87000,USD
2025-02,ParentCo,Opex:R&D,58000,USD
2025-02,ParentCo,Opex:Admin,43500,USD
2025-02,EMEA,Revenue,195000,EUR
2025-02,EMEA,COGS,31200,EUR
2025-02,EMEA,Opex:Marketing,29250,EUR
2025-02,EMEA,Opex:Sales,19500,EUR
2025-02,EMEA,Opex:Admin,9750,EUR
2025-03,ParentCo,Revenue,745000,USD
2025-03,ParentCo,COGS,111750,USD
2025-03,ParentCo,Opex:Marketing,149000,USD
2025-03,ParentCo,Opex:Sales,89400,USD
2025-03,ParentCo,Opex:R&D,59600,USD
2025-03,ParentCo,Opex:Admin,44700,USD
2025-03,EMEA,Revenue,198000,EUR
2025-03,EMEA,COGS,31680,EUR
2025-03,EMEA,Opex:Marketing,29700,EUR
2025-03,EMEA,Opex:Sales,19800,EUR
2025-03,EMEA,Opex:Admin,9900,EUR
2025-04,ParentCo,Revenue,730000,USD
2025-04,ParentCo,COGS,109500,USD
2025-04,ParentCo,Opex:Marketing,146000,USD
2025-04,ParentCo,Opex:Sales,87600,USD
2025-04,ParentCo,Opex:R&D,58400,USD
2025-04,ParentCo,Opex:Admin,43800,USD
2025-04,EMEA,Revenue,202000,EUR
2025-04,EMEA,COGS,32320,EUR
2025-04,EMEA,Opex:Marketing,30300,EUR
2025-04,EMEA,Opex:Sales,20200,EUR
2025-04,EMEA,Opex:Admin,10100,EUR
2025-05,ParentCo,Revenue,765000,USD
2025-05,ParentCo,COGS,114750,USD
2025-05,ParentCo,Opex:Marketing,153000,USD
2025-05,ParentCo,Opex:Sales,91800,USD
2025-05,ParentCo,Opex:R&D,61200,USD
2025-05,ParentCo,Opex:Admin,45900,USD
2025-05,EMEA,Revenue,205000,EUR
2025-05,EMEA,COGS,32800,EUR
2025-05,EMEA,Opex:Marketing,30750,EUR
2025-05,EMEA,Opex:Sales,20500,EUR
2025-05,EMEA,Opex:Admin,10250,EUR
2025-06,ParentCo,Revenue,780000,USD
2025-06,ParentCo,COGS,117000,USD
2025-06,ParentCo,Opex:Marketing,156000,USD
2025-06,ParentCo,Opex:Sales,93600,USD
2025-06,ParentCo,Opex:R&D,62400,USD
2025-06,ParentCo,Opex:Admin,46800,USD
2025-06,EMEA,Revenue,212000,EUR
2025-06,EMEA,COGS,33920,EUR
2025-06,EMEA,Opex:Marketing,31800,EUR
2025-06,EMEA,Opex:Sales,21200,EUR
2025-06,EMEA,Opex:Admin,10600,EUR
2025-07,ParentCo,Revenue,765000,USD
2025-07,ParentCo,COGS,114750,USD
2025-07,ParentCo,Opex:Marketing,153000,USD
2025-07,ParentCo,Opex:Sales,91800,USD
2025-07,ParentCo,Opex:R&D,61200,USD
2025-07,ParentCo,Opex:Admin,45900,USD
2025-07,EMEA,Revenue,208000,EUR
2025-07,EMEA,COGS,33280,EUR
2025-07,EMEA,Opex:Marketing,31200,EUR
2025-07,EMEA,Opex:Sales,20800,EUR
2025-07,EMEA,Opex:Admin,10400,EUR
2025-08,ParentCo,Revenue,795000,USD
2025-08,ParentCo,COGS,119250,USD
2025-08,ParentCo,Opex:Marketing,159000,USD
2025-08,ParentCo,Opex:Sales,95400,USD
2025-08,ParentCo,Opex:R&D,63600,USD
2025-08,ParentCo,Opex:Admin,47700,USD
2025-08,EMEA,Revenue,218000,EUR
2025-08,EMEA,COGS,34880,EUR
2025-08,EMEA,Opex:Marketing,32700,EUR
2025-08,EMEA,Opex:Sales,21800,EUR
2025-08,EMEA,Opex:Admin,10900,EUR
2025-09,ParentCo,Revenue,780000,USD
2025-09,ParentCo,COGS,117000,USD
2025-09,ParentCo,Opex:Marketing,156000,USD
2025-09,ParentCo,Opex:Sales,93600,USD
2025-09,ParentCo,Opex:R&D,62400,USD
2025-09,ParentCo,Opex:Admin,46800,USD
2025-09,EMEA,Revenue,215000,EUR
2025-09,EMEA,COGS,34400,EUR
2025-09,EMEA,Opex:Marketing,32250,EUR
2025-09,EMEA,Opex:Sales,21500,EUR
2025-09,EMEA,Opex:Admin,10750,EUR
2025-10,ParentCo,Revenue,815000,USD
2025-10,ParentCo,COGS,122250,USD
2025-10,ParentCo,Opex:Marketing,163000,USD
2025-10,ParentCo,Opex:Sales,97800,USD
2025-10,ParentCo,Opex:R&D,65200,USD
2025-10,ParentCo,Opex:Admin,48900,USD
2025-10,EMEA,Revenue,225000,EUR
2025-10,EMEA,COGS,36000,EUR
2025-10,EMEA,Opex:Marketing,33750,EUR
2025-10,EMEA,Opex:Sales,22500,EUR
2025-10,EMEA,Opex:Admin,11250,EUR
2025-11,ParentCo,Revenue,825000,USD
2025-11,ParentCo,COGS,123750,USD
2025-11,ParentCo,Opex:Marketing,165000,USD
2025-11,ParentCo,Opex:Sales,99000,USD
2025-11,ParentCo,Opex:R&D,66000,USD
2025-11,ParentCo,Opex:Admin,49500,USD
2025-11,EMEA,Revenue,228000,EUR
2025-11,EMEA,COGS,36480,EUR
2025-11,EMEA,Opex:Marketing,34200,EUR
2025-11,EMEA,Opex:Sales,22800,EUR
2025-11,EMEA,Opex:Admin,11400,EUR
2025-12,ParentCo,Revenue,850000,USD
2025-12,ParentCo,COGS,127500,USD
2025-12,ParentCo,Opex:Marketing,170000,USD
2025-12,ParentCo,Opex:Sales,102000,USD
2025-12,ParentCo,Opex:R&D,68000,USD
2025-12,ParentCo,Opex:Admin,51000,USD
2025-12,EMEA,Revenue,235000,EUR
2025-12,EMEA,COGS,37600,EUR
2025-12,EMEA,Opex:Marketing,35250,EUR
2025-12,EMEA,Opex:Sales,23500,EUR
2025-12,EMEA,Opex:Admin,11750,EUR
